State,state_abbreviation,County,Violent_crime,Murder,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny-theft,vehicle_theft,Arson
ALABAMA ,AL,Autauga,62,2,12,3,45,265,43,177,45,4
ALABAMA ,AL,Bibb,26,0,1,0,25,104,30,50,24,0
ALABAMA ,AL,Blount,66,1,13,1,51,259,63,140,56,3
ALABAMA ,AL,Colbert,61,3,3,8,47,241,78,133,30,3
ALABAMA ,AL,Etowah,27,0,5,0,22,121,37,61,23,1
ALABAMA ,AL,Geneva,23,1,4,0,18,151,30,89,32,1
ALABAMA ,AL,Henry,21,5,3,0,13,51,10,34,7,0
ALABAMA ,AL,Houston,11,1,0,0,10,113,51,47,15,0
ALABAMA ,AL,Lauderdale,44,0,4,2,38,428,77,306,45,5
ALABAMA ,AL,Lawrence,22,2,3,0,17,76,24,30,22,1
ALABAMA ,AL,Lowndes,64,9,3,5,47,224,49,122,53,4
ALABAMA ,AL,Mobile,265,10,16,8,231,"1,288",337,704,247,13
ALABAMA ,AL,Shelby,5,0,2,0,3,24,8,12,4,0
ALABAMA ,AL,St. Clair,42,0,5,2,35,121,47,54,20,3
ALABAMA ,AL,Washington,21,0,3,0,18,99,18,61,20,5
ALABAMA ,AL,Barbour,19,0,1,0,18,55,11,29,15,0
ALABAMA ,AL,Cherokee,71,1,8,0,62,339,74,169,96,6
ALABAMA ,AL,Clarke,63,1,3,2,57,99,34,53,12,3
ALABAMA ,AL,Clay,25,0,1,0,24,65,25,37,3,0
ALABAMA ,AL,Cleburne,18,1,2,0,15,188,40,133,15,0
ALABAMA ,AL,Covington,8,0,0,0,8,101,18,65,18,0
ALABAMA ,AL,Crenshaw,15,1,2,0,12,74,14,39,21,1
ALABAMA ,AL,Cullman,109,1,17,6,85,918,228,537,153,2
ALABAMA ,AL,Dallas,81,3,4,9,65,302,58,182,62,5
ALABAMA ,AL,DeKalb,56,1,6,0,49,169,41,91,37,5
ALABAMA ,AL,Fayette,3,0,0,0,3,27,4,9,14,0
ALABAMA ,AL,Macon,5,0,1,0,4,16,1,9,6,1
ALABAMA ,AL,Marengo,7,1,0,0,6,38,14,15,9,0
ALABAMA ,AL,Marion,2,0,0,0,2,34,6,15,13,0
ALABAMA ,AL,Marshall,37,1,7,1,28,295,144,109,42,3
ALABAMA ,AL,Monroe,18,1,1,1,15,39,7,28,4,0
ALABAMA ,AL,Randolph,34,0,0,0,34,210,54,142,14,0
ALABAMA ,AL,Talladega,90,2,10,6,72,406,101,231,74,1
ALABAMA ,AL,Tallapoosa,34,5,4,3,22,83,24,51,8,1
ALABAMA ,AL,Winston,9,0,3,0,6,88,25,58,5,0
ARIZONA ,AZ,Cochise,86,7,3,4,72,296,85,162,49,4
ARIZONA ,AZ,Coconino,94,2,12,5,75,213,69,130,14,5
ARIZONA ,AZ,Mohave,246,11,81,16,138,"1,649",469,971,209,16
ARIZONA ,AZ,Pima,910,23,74,113,700,"7,024","1,094","5,445",485,51
ARIZONA ,AZ,Pinal,311,6,9,11,285,"1,531",299,"1,015",217,7
ARIZONA ,AZ,Yavapai,260,1,14,2,243,602,123,394,85,11
ARIZONA ,AZ,Yuma,176,0,29,8,139,937,248,568,121,17
ARKANSAS,AR,Benton,175,9,28,5,133,400,99,226,75,5
ARKANSAS,AR,Cleveland,17,0,1,0,16,130,53,65,12,4
ARKANSAS,AR,Craighead,52,4,14,0,34,314,105,167,42,8
ARKANSAS,AR,Crawford,56,0,7,0,49,308,44,199,65,1
ARKANSAS,AR,Crittenden,188,9,17,11,151,263,64,157,42,3
ARKANSAS,AR,Faulkner,152,0,18,6,128,786,160,494,132,7
ARKANSAS,AR,Franklin,59,0,7,0,52,131,39,79,13,0
ARKANSAS,AR,Garland,360,2,33,7,318,"1,260",536,583,141,0
ARKANSAS,AR,Grant,34,0,1,0,33,179,49,107,23,0
ARKANSAS,AR,Jefferson,82,7,9,5,61,440,107,254,79,9
ARKANSAS,AR,Lincoln,4,0,0,0,4,36,10,19,7,0
ARKANSAS,AR,Little River,20,0,6,0,14,82,21,54,7,2
ARKANSAS,AR,Lonoke,122,5,15,6,96,366,41,228,97,2
ARKANSAS,AR,Madison,56,5,13,0,38,128,39,61,28,4
ARKANSAS,AR,Miller,63,2,12,0,49,147,40,87,20,1
